timestamp,no2,station
2019-02-02 17:00:00+00:00,36,CHOR
2019-02-02 17:00:00+00:00,43,VKTU
2019-02-02 17:00:00+00:00,41,RODE
2019-02-02 17:00:00+00:00,56,VKCL
2019-02-02 18:00:00+00:00,39,RODE
2019-02-02 18:00:00+00:00,42,VKCL
2019-02-02 18:00:00+00:00,37,CHOR
2019-02-02 18:00:00+00:00,41,VKTU
2019-02-02 19:00:00+00:00,39,CHOR
2019-02-02 19:00:00+00:00,41,VKTU
2019-02-02 19:00:00+00:00,39,RODE
2019-02-02 19:00:00+00:00,49,VKCL
2019-02-02 20:00:00+00:00,41,RODE
2019-02-02 20:00:00+00:00,45,VKCL
2019-02-02 20:00:00+00:00,39,CHOR
2019-02-02 20:00:00+00:00,43,VKTU
2019-02-02 21:00:00+00:00,35,CHOR
2019-02-02 21:00:00+00:00,41,VKTU
2019-02-02 21:00:00+00:00,45,VKCL
2019-02-03 00:00:00+00:00,36,RODE
2019-02-03 00:00:00+00:00,36,CHOR
2019-02-03 00:00:00+00:00,39,VKCL
2019-02-03 00:00:00+00:00,39,VKTU
2019-02-03 01:00:00+00:00,39,RODE
2019-02-03 01:00:00+00:00,33,CHOR
2019-02-03 01:00:00+00:00,35,VKTU
2019-02-03 01:00:00+00:00,36,VKCL
2019-02-03 02:00:00+00:00,33,RODE
2019-02-03 02:00:00+00:00,23,CHOR
2019-02-03 02:00:00+00:00,34,VKTU
2019-02-03 02:00:00+00:00,36,VKCL
2019-02-03 03:00:00+00:00,26,VKTU
2019-02-03 03:00:00+00:00,33,VKCL
2019-02-03 03:00:00+00:00,26,RODE
2019-02-03 03:00:00+00:00,20,CHOR
2019-02-03 04:00:00+00:00,24,RODE
2019-02-03 04:00:00+00:00,20,CHOR
2019-02-03 04:00:00+00:00,26,VKTU
2019-02-03 04:00:00+00:00,40,VKCL
2019-02-03 05:00:00+00:00,28,VKTU
2019-02-03 05:00:00+00:00,40,VKCL
2019-02-03 05:00:00+00:00,29,RODE
2019-02-03 05:00:00+00:00,23,CHOR
2019-02-03 06:00:00+00:00,32,RODE
2019-02-03 06:00:00+00:00,22,CHOR
2019-02-03 06:00:00+00:00,32,VKTU
2019-02-03 06:00:00+00:00,40,VKCL
2019-02-03 07:00:00+00:00,29,VKTU
2019-02-03 07:00:00+00:00,37,VKCL
2019-02-03 07:00:00+00:00,29,RODE
2019-02-03 07:00:00+00:00,24,CHOR
2019-02-03 08:00:00+00:00,30,RODE
2019-02-03 08:00:00+00:00,25,CHOR
2019-02-03 08:00:00+00:00,35,VKTU
2019-02-03 08:00:00+00:00,40,VKCL
2019-02-03 09:00:00+00:00,34,VKTU
2019-02-03 09:00:00+00:00,42,VKCL
2019-02-03 09:00:00+00:00,31,RODE
2019-02-03 09:00:00+00:00,24,CHOR
2019-02-03 10:00:00+00:00,31,RODE
2019-02-03 10:00:00+00:00,22,CHOR
2019-02-03 10:00:00+00:00,32,VKTU
2019-02-03 10:00:00+00:00,41,VKCL
2019-02-03 11:00:00+00:00,29,VKTU
2019-02-03 11:00:00+00:00,42,VKCL
2019-02-03 11:00:00+00:00,29,RODE
2019-02-03 11:00:00+00:00,24,CHOR
2019-02-03 12:00:00+00:00,25,RODE
2019-02-03 12:00:00+00:00,25,CHOR
2019-02-03 12:00:00+00:00,36,VKCL
2019-02-03 13:00:00+00:00,21,CHOR
2019-02-03 13:00:00+00:00,32,VKCL
2019-02-03 13:00:00+00:00,22,RODE
2019-02-03 13:00:00+00:00,27,VKTU
2019-02-03 14:00:00+00:00,28,RODE
2019-02-03 14:00:00+00:00,29,VKTU
2019-02-03 14:00:00+00:00,17,CHOR
2019-02-03 14:00:00+00:00,47,VKCL
2019-02-03 15:00:00+00:00,14,CHOR
2019-02-03 15:00:00+00:00,58,VKCL
2019-02-03 15:00:00+00:00,25,RODE
2019-02-03 15:00:00+00:00,30,VKTU
2019-02-03 16:00:00+00:00,34,RODE
2019-02-03 16:00:00+00:00,33,VKTU
2019-02-03 16:00:00+00:00,15,CHOR
2019-02-03 16:00:00+00:00,59,VKCL
2019-02-03 17:00:00+00:00,26,CHOR
2019-02-03 17:00:00+00:00,59,VKCL
2019-02-03 17:00:00+00:00,53,RODE
2019-02-03 17:00:00+00:00,46,VKTU
2019-02-03 18:00:00+00:00,45,RODE
2019-02-03 18:00:00+00:00,49,VKTU
2019-02-03 18:00:00+00:00,35,CHOR
2019-02-03 18:00:00+00:00,63,VKCL
2019-02-03 19:00:00+00:00,44,CHOR
2019-02-03 19:00:00+00:00,74,VKCL
2019-02-03 19:00:00+00:00,41,RODE
2019-02-03 19:00:00+00:00,51,VKTU
2019-02-03 20:00:00+00:00,43,RODE
2019-02-03 20:00:00+00:00,53,VKTU
2019-02-03 20:00:00+00:00,44,CHOR
2019-02-03 20:00:00+00:00,71,VKCL
2019-02-03 21:00:00+00:00,41,CHOR
2019-02-03 21:00:00+00:00,67,VKCL
2019-02-03 21:00:00+00:00,39,RODE
2019-02-03 21:00:00+00:00,52,VKTU
2019-02-04 00:00:00+00:00,41,CHOR
2019-02-04 00:00:00+00:00,42,VKTU
2019-02-04 00:00:00+00:00,24,RODE
2019-02-04 00:00:00+00:00,54,VKCL
2019-02-04 01:00:00+00:00,47,VKCL
2019-02-04 01:00:00+00:00,42,CHOR
2019-02-04 01:00:00+00:00,46,VKTU
2019-02-04 01:00:00+00:00,23,RODE
2019-02-04 02:00:00+00:00,46,VKCL
2019-02-04 02:00:00+00:00,41,CHOR
2019-02-04 02:00:00+00:00,43,VKTU
2019-02-04 02:00:00+00:00,28,RODE
2019-02-04 03:00:00+00:00,41,VKTU
2019-02-04 03:00:00+00:00,31,RODE
2019-02-04 03:00:00+00:00,45,VKCL
2019-02-04 03:00:00+00:00,43,CHOR
2019-02-04 04:00:00+00:00,46,VKCL
2019-02-04 04:00:00+00:00,44,CHOR
2019-02-04 04:00:00+00:00,36,VKTU
2019-02-04 04:00:00+00:00,25,RODE
2019-02-04 05:00:00+00:00,42,VKTU
2019-02-04 05:00:00+00:00,27,RODE
2019-02-04 05:00:00+00:00,45,VKCL
2019-02-04 05:00:00+00:00,48,CHOR
2019-02-04 06:00:00+00:00,53,VKCL
2019-02-04 06:00:00+00:00,49,CHOR
2019-02-04 06:00:00+00:00,44,VKTU
2019-02-04 06:00:00+00:00,37,RODE
2019-02-04 07:00:00+00:00,45,VKTU
2019-02-04 07:00:00+00:00,44,RODE
2019-02-04 07:00:00+00:00,60,VKCL
2019-02-04 07:00:00+00:00,48,CHOR
2019-02-04 08:00:00+00:00,54,VKCL
2019-02-04 08:00:00+00:00,44,CHOR
2019-02-04 08:00:00+00:00,39,VKTU
2019-02-04 08:00:00+00:00,38,RODE
2019-02-04 09:00:00+00:00,39,VKTU
2019-02-04 09:00:00+00:00,31,RODE
2019-02-04 09:00:00+00:00,51,VKCL
2019-02-04 09:00:00+00:00,40,CHOR
2019-02-04 10:00:00+00:00,39,VKCL
2019-02-04 10:00:00+00:00,38,CHOR
2019-02-04 10:00:00+00:00,37,VKTU
2019-02-04 10:00:00+00:00,25,RODE
2019-02-04 11:00:00+00:00,34,VKTU
2019-02-04 11:00:00+00:00,21,RODE
2019-02-04 11:00:00+00:00,36,VKCL
2019-02-04 11:00:00+00:00,26,CHOR
2019-02-04 12:00:00+00:00,46,VKCL
2019-02-04 12:00:00+00:00,18,CHOR
2019-02-04 12:00:00+00:00,23,VKTU
2019-02-04 12:00:00+00:00,13,RODE
2019-02-04 13:00:00+00:00,44,VKCL
2019-02-04 13:00:00+00:00,15,RODE
2019-02-04 13:00:00+00:00,15,CHOR
2019-02-04 14:00:00+00:00,13,RODE
2019-02-04 14:00:00+00:00,21,CHOR
2019-02-04 14:00:00+00:00,34,VKTU
2019-02-04 14:00:00+00:00,42,VKCL
2019-02-04 15:00:00+00:00,43,VKTU
2019-02-04 15:00:00+00:00,43,VKCL
2019-02-04 15:00:00+00:00,13,RODE
2019-02-04 15:00:00+00:00,31,CHOR
2019-02-04 16:00:00+00:00,18,RODE
2019-02-04 16:00:00+00:00,37,CHOR
2019-02-04 16:00:00+00:00,42,VKTU
2019-02-04 16:00:00+00:00,47,VKCL
2019-02-04 17:00:00+00:00,37,VKTU
2019-02-04 17:00:00+00:00,52,VKCL
2019-02-04 17:00:00+00:00,19,RODE
2019-02-04 17:00:00+00:00,30,CHOR
2019-02-04 18:00:00+00:00,18,RODE
2019-02-04 18:00:00+00:00,26,CHOR
2019-02-04 18:00:00+00:00,35,VKTU
2019-02-04 18:00:00+00:00,30,VKCL
2019-02-04 19:00:00+00:00,35,VKTU
2019-02-04 19:00:00+00:00,34,VKCL
2019-02-04 19:00:00+00:00,14,RODE
2019-02-04 19:00:00+00:00,28,CHOR
2019-02-04 20:00:00+00:00,14,RODE
2019-02-04 20:00:00+00:00,28,CHOR
2019-02-04 20:00:00+00:00,31,VKTU
2019-02-04 20:00:00+00:00,37,VKCL
2019-02-04 21:00:00+00:00,26,VKTU
2019-02-04 21:00:00+00:00,40,VKCL
2019-02-04 21:00:00+00:00,19,RODE
2019-02-04 21:00:00+00:00,21,CHOR
2019-02-05 00:00:00+00:00,10,RODE
2019-02-05 00:00:00+00:00,18,CHOR
2019-02-05 00:00:00+00:00,14,VKTU
2019-02-05 00:00:00+00:00,23,VKCL
2019-02-05 01:00:00+00:00,19,RODE
2019-02-05 01:00:00+00:00,16,CHOR
2019-02-05 01:00:00+00:00,23,VKTU
2019-02-05 01:00:00+00:00,27,VKCL
2019-02-05 02:00:00+00:00,21,RODE
2019-02-05 02:00:00+00:00,19,CHOR
2019-02-05 02:00:00+00:00,27,VKTU
2019-02-05 02:00:00+00:00,38,VKCL
2019-02-05 03:00:00+00:00,31,VKTU
2019-02-05 03:00:00+00:00,38,VKCL
2019-02-05 03:00:00+00:00,19,RODE
2019-02-05 03:00:00+00:00,33,CHOR
2019-02-05 04:00:00+00:00,22,RODE
2019-02-05 04:00:00+00:00,43,CHOR
2019-02-05 04:00:00+00:00,41,VKTU
2019-02-05 04:00:00+00:00,63,VKCL
2019-02-05 05:00:00+00:00,47,VKTU
2019-02-05 05:00:00+00:00,75,VKCL
2019-02-05 05:00:00+00:00,30,RODE
2019-02-05 05:00:00+00:00,59,CHOR
2019-02-05 06:00:00+00:00,42,RODE
2019-02-05 06:00:00+00:00,66,CHOR
2019-02-05 06:00:00+00:00,63,VKTU
2019-02-05 06:00:00+00:00,79,VKCL
2019-02-05 07:00:00+00:00,66,VKTU
2019-02-05 07:00:00+00:00,89,VKCL
2019-02-05 07:00:00+00:00,59,RODE
2019-02-05 07:00:00+00:00,70,CHOR
2019-02-05 08:00:00+00:00,61,RODE
2019-02-05 08:00:00+00:00,68,CHOR
2019-02-05 08:00:00+00:00,65,VKTU
2019-02-05 08:00:00+00:00,87,VKCL
2019-02-05 09:00:00+00:00,63,VKTU
2019-02-05 09:00:00+00:00,69,VKCL
2019-02-05 09:00:00+00:00,58,RODE
2019-02-05 09:00:00+00:00,69,CHOR
2019-02-05 10:00:00+00:00,53,RODE
2019-02-05 10:00:00+00:00,68,CHOR
2019-02-05 10:00:00+00:00,61,VKTU
2019-02-05 10:00:00+00:00,68,VKCL
2019-02-05 11:00:00+00:00,61,VKTU
2019-02-05 11:00:00+00:00,68,VKCL
2019-02-05 11:00:00+00:00,51,RODE
2019-02-05 11:00:00+00:00,56,CHOR
2019-02-05 12:00:00+00:00,47,RODE
2019-02-05 12:00:00+00:00,60,CHOR
2019-02-05 12:00:00+00:00,58,VKTU
